Domain;Subdomain;Skill
"Community Participation Skills	Social Awareness & Manners	SA19. Adjusts and keeps voice volume based on ambient sound, proximity, nature of conversation";;
"Community Participation Skills	Social Awareness & Manners	SA20. Politely ends conversations";;
"Community Participation Skills	Social Awareness & Manners	SA21. Uses non verbal responses to indicate learner is listening to others";;
"Community Participation Skills	Social Awareness & Manners	SA22. Introduces self";;
"Community Participation Skills	Social Awareness & Manners	SA23. Introduces friends and family to others";;
"Community Participation Skills	Social Awareness & Manners	SA24. Keeps conversation on topic and makes appropriate transition to new topic";;
"Community Participation Skills	Social Awareness & Manners	SA25. Discusses personal information with appropriate individuals";;
"Community Participation Skills	Social Awareness & Manners	SA26. Starts conversation on topic of interest with others";;
"Community Participation Skills	Social Awareness & Manners	SA27. Announces when leaving an activity";;
"Community Participation Skills	Social Awareness & Manners	SA28. Displays good sportsmanship";;
"Community Participation Skills	Social Awareness & Manners	SA29. Shows concern for the feelings of others";;
"Community Participation Skills	Social Awareness & Manners	SA30. Refrains from criticizing others";;
"Community Participation Skills	Social Awareness & Manners	SA31. Asks questions about others when conversing with them";;
"Community Participation Skills	Social Awareness & Manners	SA32. Does not intentionally talk about subjects that upset others";;
"Community Participation Skills	Social Awareness & Manners	SA33. Does not brag";;
"Community Participation Skills	Social Awareness & Manners	SA34. Identifies interest and boredom with topic";;
"Community Participation Skills	Social Awareness & Manners	SA35. Identifies sarcasm and genuine statements";;
"Community Participation Skills	Social Awareness & Manners	SA36. Identifies literal and figurative comments";;
"Community Participation Skills	Social Awareness & Manners	SA37. Takes turns conversing in groups";;
"Community Participation Skills	Social Awareness & Manners	SA38. Gives compliments";;
"Community Participation Skills	Social Awareness & Manners	SA39. Asks for and gives favors";;
"Community Participation Skills	Social Awareness & Manners	SA40. Ignores inappropriate instructions";;
"Community Participation Skills	Social Awareness & Manners	SA41. Responds appropriately to peer pressure";;
"Community Participation Skills	Social Awareness & Manners	SA42. Responds appropriately to teasing";;
"Community Participation Skills	Social Awareness & Manners	SA43. Responds appropriately to bullying";;
"Community Participation Skills	Social Awareness & Manners	SA44. Shares friends with others";;
"Community Participation Skills	Social Awareness & Manners	SA45. Tells jokes or funny stories";;
"Community Participation Skills	Social Awareness & Manners	SA46. Uses names, formal and informal with appropriate titles";;
"Community Participation Skills	Social Awareness & Manners	SA47. Identifies and deals with social anxiety";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will return all greetings with eye contact.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will say Thank you when given an item and to acknowledge help provided by others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will excuse self after accidently bumping into others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will say Excuse me or Can you move please? as a request for others to move out of the way to allow passage or access to something.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will wait for others to stop talking before speaking.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will use a variety of phrases to politely interrupt a conversation.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will use hand or facial gestures to gain someone's attention or to enter or interrupt/ break into a conversation.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will wait for a person to end a phone call prior to attempting to interact.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will apologize to others and correct mistakes.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will respect personal space of others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	When joining others, learner will find an open space or politely ask others to make room when no space is available.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will hold door for those who need assistance and as a courtesy for others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will knock and wait for answer and invitation before entering home.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will offer to assist others who are having difficulty or could benefit from receiving help.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will identify items that are commonly shared and will ask for prior permission to use or borrow items belonging to others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will identify personal storage areas of others that are commonly considered to be off limits and will not go into those areas unless given specific approval or was asked to do so by owner.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will return borrowed items in good and clean condition in a timely manner.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will greet and physically interact with others in a socially acceptable manner.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will use appropriate volume of speech based upon the nature of conversation, location of the learner in the community, proximity of the listener, and ambient level of sound.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will politely end conversations.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will display gestures and other behavior to demonstrate active listening to what others are saying.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will approach and introduce self to new people known by caregiver or peers.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will introduce friends and family to others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will hold a conversation for 4 or more exchanges on 1 topic and appropriately shift to another topic.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will only discuss or give certain personal information to appropriate individuals.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will initiate conversations with others regarding topics that are known to be of interest to those individuals.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will politely tell others involved in an activity that learner will be departing.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will demonstrate good sportsmanship.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will show concern for the feelings of others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will refrain from criticizing or talking negatively about others in various settings.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will converse with others and ask questions about them.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will not bring up topics of conversation known to be upsetting to others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will discuss accomplishments in a humble or respectful manner.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will identify when individuals in a conversation are interested or bored with the topic.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will distinguish between statements that are sarcastic from genuine statements when talking to others and will respond appropriately.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will identify the difference between literal and figurative comments.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will take turns participating in group discussions.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will give compliments or make positive statements to others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	When asking for someone to do something for learner, will ask if the person would be willing to do a favor.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will consistently ignore instructions from others to do something inappropriate.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will respond appropriately to peer pressure.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will respond appropriately to teasing.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will respond by seeking appropriate assistance when being bullied.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will remain calm when friends interact with others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will tell jokes or share funny stories with others.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will state 4 different titles and describe their use.";;
"Community Participation Skills	Social Awareness & Manners Objectives	Learner will identify and manage social anxiety.";;
"Independent Living Skills	Organizational Skills	OS1. Maintains critical personal possessions in consistent location";;
"Independent Living Skills	Organizational Skills	OS2. Keeps personal possessions secure";;
"Independent Living Skills	Organizational Skills	OS3. Keeps mail in specific location";;
"Independent Living Skills	Organizational Skills	OS4. Securely stores important documents";;
"Independent Living Skills	Organizational Skills	OS5. Organizes cupboards, closet, and drawers";;
"Independent Living Skills	Organizational Skills	OS6. Maintains contact list";;
"Independent Living Skills	Organizational Skills	OS7. Uses calendar for scheduling activities";;
"Independent Living Skills	Organizational Skills	OS8. Makes appointments";;
"Independent Living Skills	Organizational Skills	OS9. Uses calendar application alerts";;
"Independent Living Skills	Organizational Skills	OS10. Schedules weekly, monthly, yearly events";;
"Independent Living Skills	Organizational Skills	OS11. Plans for seasons and holidays";;
"Independent Living Skills	Organizational Skills	OS12. Manages schedule and commitments";;
"Independent Living Skills	Organizational Skills	OS13. Allocates time to complete projects";;
"Independent Living Skills	Organizational Skills	OS14. Renewal of documents and services";;
"Independent Living Skills	Organizational Skills	OS15. Arrives at appointments on time";;
"Independent Living Skills	Organizational Skills	OS16. Honors scheduled commitments";;
"Independent Living Skills	Organizational Skills	OS17. Keeps agreements";;
"Independent Living Skills	Organizational Skills	OS18. Returns borrowed item/Replaces borrowed items that are damaged";;
"Independent Living Skills	Organizational Skills	OS19. Returns borrowed money";;
"Independent Living Skills	Organizational Skills	OS20. Calculates postage for letters";;
"Independent Living Skills	Organizational Skills	OS21. Sends packages via Postal Service or private carriers";;
"Independent Living Skills	Organizational Skills	OS22. Signs for delivery of packages";;
"Independent Living Skills	Organizational Skills	OS23. Sorts incoming mail";;
"Independent Living Skills	Organizational Skills Objectives	Learner will consistently place and keep keys, wallet or purse, phone, and other critical possessions in established locations.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will maintain close monitoring of valuable possessions when in public.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will consistently place and keep mail in an established location.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will maintain important financial records, passwords, and similar documents in an organized manner in a secure location.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will maintain personal possessions in established and well organized locations in cupboards, closets and drawers.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will maintain a contact list including addresses, phone numbers, and email addresses.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will maintain a schedule of activities on a calendar.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will make appointments with family, friends, and professionals.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will set and respond to alerts set for upcoming events on an electronic calendar application.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will use a calendar for planning personal activities on a daily, weekly, monthly and yearly schedule.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will identify activities that would be appropriate in upcoming seasons and holidays.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will plan a manageable daily and weekly schedule that doesn’t result in learner being overcommitted.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will allocate sufficient time to ensure timely completion of long term projects.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will manage the renewal of important documents, memberships, agreements, and services.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will consistently keep and arrive on time for scheduled appointments.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will honor scheduled commitments and go to events that had previously been agreed to with others.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will follow through with agreements made with others.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will return borrowed items in a timely manner and replace any borrowed items that were damaged.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will repay any borrowed funds in a timely manner.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will determine the amount of postage necessary to send various weights of letters to specified domestic locations.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will use the Postal Service or private shipping carriers to send packages.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will sign for packages that are being delivered by a carrier.";;
"Independent Living Skills	Organizational Skills Objectives	Learner will identify received mail as being important and needing action and dispose of mail that is junk mail or is not important.";;
"Independent Living Skills	Self Care	SC1. Regularly takes bath or shower";;
"Independent Living Skills	Self Care	SC2. Brushes teeth";;
"Independent Living Skills	Self Care	SC3. Hair care";;
"Independent Living Skills	Self Care	SC4. Shaves face";;
"Independent Living Skills	Self Care	SC5. Shaves legs and underarms";;
"Independent Living Skills	Self Care	SC6. Maintains grooming instruments and supplies";;
"Independent Living Skills	Self Care	SC7. Maintains adequate number of clean clothes";;
"Independent Living Skills	Self Care	SC8. Wears clean clothes";;
"Independent Living Skills	Self Care	SC9. Irons clothes";;
"Independent Living Skills	Self Care	SC10. Polishes shoes";;
"Independent Living Skills	Self Care	SC11. Uses weather reports to determine clothing needs";;
"Independent Living Skills	Self Care	SC12. Consumes a healthy variety of foods";;
"Independent Living Skills	Self Care	SC13. Obtains adequate sleep";;
"Independent Living Skills	Self Care	SC14. Exercises";;
"Independent Living Skills	Self Care	SC15. Washes and sanitizes hands";;
"Independent Living Skills	Self Care	SC16. Covers coughs";;
"Independent Living Skills	Self Care	SC17. Uses tissues";;
"Independent Living Skills	Self Care	SC18. Avoids sick people";;
"Independent Living Skills	Self Care	SC19. Shows caution with bodily fluids";;
"Independent Living Skills	Self Care	SC20. Gets trash can when nauseous";;
"Independent Living Skills	Self Care	SC21. Describes medicine use";;
"Independent Living Skills	Self Care	SC22. Describes medicines used for symptoms";;
"Independent Living Skills	Self Care	SC23. Takes medication";;
"Independent Living Skills	Self Care	SC24. Brings medication on outings";;
"Independent Living Skills	Self Care	SC25. Takes own temperature";;
"Independent Living Skills	Self Care	SC26. Refills medication";;
"Independent Living Skills	Self Care	SC27. Emergency vs. non-emergency medical treatment";;
"Independent Living Skills	Self Care	SC28. Schedules routine medical and dental appointments";;
"Independent Living Skills	Self Care	SC29. Allergic reactions";;
"Independent Living Skills	Self Care	SC30. Puts panty liner or pad on underwear";;
"Independent Living Skills	Self Care	SC31. Checks and changes sanitary pads or liners as needed";;
"Independent Living Skills	Self Care	SC32. Inserts tampon";;
"Independent Living Skills	Self Care	SC33. Changes and disposes of tampons";;
"Independent Living Skills	Self Care	SC34. Describes female menstrual cycles";;
"Independent Living Skills	Self Care	SC35. Counts out average days of menstrual cycle and marks on calendar";;
"Independent Living Skills	Self Care	SC36. Identifies feminine hygiene product required";;
"Independent Living Skills	Self Care	SC37. Monitors need for sanitary products";;
"Independent Living Skills	Self Care Objectives	Learner will take baths or showers on a regular basis.";;
"Independent Living Skills	Self Care Objectives	Learner will brush teeth at least twice per day and floss teeth at least once per day.";;
"Independent Living Skills	Self Care Objectives	Learner will maintain hair by washing, trimming and combing on a regular basis.";;
"Independent Living Skills	Self Care Objectives	Learner will shave or maintain neat facial hair.";;
"Independent Living Skills	Self Care Objectives	Learner will shave legs and underarms on regular basis.";;
"Independent Living Skills	Self Care Objectives	Learner will maintain an adequate supply of grooming products, clean hair brushes and combs, and replace toothbrushes and razors as needed.";;
"Independent Living Skills	Self Care Objectives	Learner will launder clothing on a regular basis such that clean clothing is always available.";;
"Independent Living Skills	Self Care Objectives	Learner will wear only clean clothes.";;
"Independent Living Skills	Self Care Objectives	Learner will safely operate an iron, including adding water to provide steam, and remove wrinkles from clothing.";;
"Independent Living Skills	Self Care Objectives	Learner will apply shoe polish and shine shoes.";;
"Independent Living Skills	Self Care Objectives	Learner will select appropriate clothing based upon weather forecasts.";;
"Independent Living Skills	Self Care Objectives	Learner will eat a well-balanced variety of healthy foods.";;
"Independent Living Skills	Self Care Objectives	Learner will go to bed at a reasonable time to be able to be alert and perform responsibilities the following day.";;
"Independent Living Skills	Self Care Objectives	Learner will exercise for at least 20 minutes, 3 times per week.";;
"Independent Living Skills	Self Care Objectives	Learner will maintain clean hands by wash or applying hand sanitizer.";;
"Independent Living Skills	Self Care Objectives	Learner will consistently cough into elbow or tissue.";;
"Independent Living Skills	Self Care Objectives	Learner will carry and use tissues when nose is running.";;
"Independent Living Skills	Self Care Objectives	Learner will avoid unnecessary contact with individuals who are sick.";;
"Independent Living Skills	Self Care Objectives	Learner will state the need to uses protective gloves if required to clean up blood or other bodily fluids.";;
"Independent Living Skills	Self Care Objectives	When learner is feeling nauseous, will move a trash can or similar container close in case of an immediate need to vomit.";;
"Independent Living Skills	Self Care Objectives	Learner will describe symptoms for common medicine use.";;
"Independent Living Skills	Self Care Objectives	Learner will state which non-prescription medicine is used to treat particular symptoms.";;
"Independent Living Skills	Self Care Objectives	Learner will take current medications at correct doses and times.";;
"Independent Living Skills	Self Care Objectives	When planning for extended outings, learner will bring the necessary medication.";;
"Independent Living Skills	Self Care Objectives	Learner will determine presence of fever by taking own temperature.";;
"Independent Living Skills	Self Care Objectives	Learner will refill prescriptions before running out.";;
"Independent Living Skills	Self Care Objectives	Learner will identify physical conditions that can be treated by self and those that will require treatment by a physician or dentist.";;
"Independent Living Skills	Self Care Objectives	Learner will schedule yearly medical and twice yearly dental appointments.";;
"Independent Living Skills	Self Care Objectives	Learner will identify an allergic reaction and take appropriate steps to minimize, stop, or obtain assistance for the reaction.";;
"Independent Living Skills	Self Care Objectives	Learner will apply sanitary pad or liner on underwear.";;
"Independent Living Skills	Self Care Objectives	Learner will monitor time when will need to change, replace, and properly dispose of sanitary pads or liners.";;
"Independent Living Skills	Self Care Objectives	Learner will safely insert, remove and dispose of tampons.";;
"Independent Living Skills	Self Care Objectives	Learner will change and properly dispose of tampons.";;
"Independent Living Skills	Self Care Objectives	Learner will describe a woman's menstrual cycle and identify times in that cycle when a woman can become pregnant.";;
"Independent Living Skills	Self Care Objectives	Learner will count out days of average menstrual cycle and mark on calendar or track cycle using a phone or computer application.";;
"Independent Living Skills	Self Care Objectives	Learner will identify the type of personal feminine hygiene product required.";;
"Independent Living Skills	Self Care Objectives	Learner will identify approximate time when a period may be likely to start and bring tampons or pads.";;
"Independent Living Skills	Maintenance & Cleaning	MC1. Empties trash cans";;
"Independent Living Skills	Maintenance & Cleaning	MC2. Wipes table and counters";;
"Independent Living Skills	Maintenance & Cleaning	MC3. Dusts objects";;
"Independent Living Skills	Maintenance & Cleaning	MC4. Cleans spilled food and liquids";;
"Independent Living Skills	Maintenance & Cleaning	MC5. Sweeps and uses dustpan";;
"Independent Living Skills	Maintenance & Cleaning	MC6. Swiffers";;
"Independent Living Skills	Maintenance & Cleaning	MC7. Mops floor";;
"Independent Living Skills	Maintenance & Cleaning	MC8. Cleans or replaces sponges, mops, brooms, etc.";;
"Independent Living Skills	Maintenance & Cleaning	MC9. Vacuums carpets";;
"Independent Living Skills	Maintenance & Cleaning	MC10. Empties vacuum bag and dust buster";;
"Independent Living Skills	Maintenance & Cleaning	MC11. Spot cleans carpet";;
"Independent Living Skills	Maintenance & Cleaning	MC12. Maintains clean floors and carpet";;
"Independent Living Skills	Maintenance & Cleaning	MC13. Straightens household";;
"Independent Living Skills	Maintenance & Cleaning	MC14. Cleans porch";;
"Independent Living Skills	Maintenance & Cleaning	MC15. Washes sheets";;
"Independent Living Skills	Maintenance & Cleaning	MC16. Keeps clothes put away";;
"Independent Living Skills	Maintenance & Cleaning	MC17. Maintains a clean bedroom";;
"Independent Living Skills	Maintenance & Cleaning	MC18. Removes spoiled food from refrigerator";;
"Independent Living Skills	Maintenance & Cleaning	MC19. Cleans drawers and shelves in refrigerator";;
"Independent Living Skills	Maintenance & Cleaning	MC20. Cleans toaster oven";;
"Independent Living Skills	Maintenance & Cleaning	MC21. Cleans dish drying rack";;
"Independent Living Skills	Maintenance & Cleaning	MC22. Cleans stove";;
"Independent Living Skills	Maintenance & Cleaning	MC23. Controls and eliminates insects";;
"Independent Living Skills	Maintenance & Cleaning	MC24. Maintains a clean kitchen";;
"Independent Living Skills	Maintenance & Cleaning	MC25. Changes towels";;
"Independent Living Skills	Maintenance & Cleaning	MC26. Cleans tub/shower";;
"Independent Living Skills	Maintenance & Cleaning	MC27. Cleans bathroom sink";;
"Independent Living Skills	Maintenance & Cleaning	MC28. Cleans bathtub";;
"Independent Living Skills	Maintenance & Cleaning	MC29. Cleans windows and mirrors";;
"Independent Living Skills	Maintenance & Cleaning	MC30. Cleans toilet";;
"Independent Living Skills	Maintenance & Cleaning	MC31. Maintains a clean bathroom";;
"Independent Living Skills	Maintenance & Cleaning	MC32. Follows house cleaning schedule";;
"Independent Living Skills	Maintenance & Cleaning	MC33. Maintains comfortable temperature in residence";;
"Independent Living Skills	Maintenance & Cleaning	MC34. Adjusts drapes or blinds";;
"Independent Living Skills	Maintenance & Cleaning	MC35. Replaces HVAC filters";;
"Independent Living Skills	Maintenance & Cleaning	MC36. Conserves resources";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will empty trash cans as needed to maintain a tidy and odor-free household.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will clean an entire table or counter surface with a damp cloth or sponge, rinsing as necessary, using overlapping wiping motions.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will dust objects and surfaces as needed.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will use rags or paper towels to clean up spills.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will sweep floor debris into piles, sweep piles into dustpan, and discard debris from dustpan into trash.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will use a Swiffer to clean floors and will change pads as necessary.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will use a mop to clean a floor using overlapping movements while cleaning the entire floor surface and changing the water or cleaning pad as necessary.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will clean or replace sponges, mops, and brooms when they are no longer in condition to be used for cleaning.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will turn on vacuum, clean floors and carpeting using overlapping sweeps over the entire carpeted surface, vacuum steps in staircase, and then put vacuum away.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will replace vacuum bags and empty dust buster canister as needed.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will spot clean carpet.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will maintain a clean floor surface by sweeping, mopping or vacuuming as needed.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will maintain and straighten items such as to maintain a tidy household.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will keep outside entry clear of trash, and free of clutter.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will remove, wash, and replace sheets and pillow cases on a regular basis.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will keep dirty clothes in hamper and keep clean clothes hung up or on shelves or in drawers.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will maintain the bedroom in a clean and tidy manner.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will regularly inspect food items in refrigerator and discard spoiled and expired items.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will clean the shelves and drawers in a refrigerator.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will safely clean a toaster oven.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will clean a dish drying rack as needed.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will safely clean a stovetop including the burner areas.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will dispose of food items that attract insects and will use appropriate means to remove insects that are found in the kitchen.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will engage in all tasks necessary to maintain a clean kitchen.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will remove, wash, and replace towels.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will clean bathtub after shower or bath.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will completely clean a bathroom sink and surrounding counter.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will completely clean bathtub.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will clean windows and mirrors.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will disinfectant a toilet seat and clean the toilet bowl.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will engage in all tasks necessary to maintain a clean bathroom.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will maintain a clean residence by following an established cleaning schedule.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will regulate temperature of residence by opening windows, closing drapes, and controlling thermostat to control heater and/or air conditioning.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will open and close drapes or blinds at appropriate times to ensure privacy, control temperature and lighting of residence.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will replace air filters for a residential heating and air conditioning unit.";;
"Independent Living Skills	Maintenance & Cleaning Objectives	Learner will conserve electricity, gas, and water by adjusting temperature of residence.";;
"Independent Living Skills	Mechanics & Repairs	MR1. Unpacks products";;
"Independent Living Skills	Mechanics & Repairs	MR2. Uses screw drivers";;
"Independent Living Skills	Mechanics & Repairs	MR3. Uses a hammer";;
"Independent Living Skills	Mechanics & Repairs	MR4. Uses pliers";;
"Independent Living Skills	Mechanics & Repairs	MR5. Uses an electrical extension cord";;
"Independent Living Skills	Mechanics & Repairs	MR6. Ties and unties knots";;
"Independent Living Skills	Mechanics & Repairs	MR7. Uses needle and thread";;
"Independent Living Skills	Mechanics & Repairs	MR8. Hangs up pictures";;
"Independent Living Skills	Mechanics & Repairs	MR9. Logs into Wi-Fi networks";;
"Independent Living Skills	Mechanics & Repairs	MR10. Home security system";;
"Independent Living Skills	Mechanics & Repairs	MR11. Replaces batteries";;
"Independent Living Skills	Mechanics & Repairs	MR12. Maintains and uses flashlight";;
"Independent Living Skills	Mechanics & Repairs	MR13. Changes light bulbs";;
"Independent Living Skills	Mechanics & Repairs	MR14. Uses correct light bulbs";;
"Independent Living Skills	Mechanics & Repairs	MR15. Fills soap dispensers";;
"Independent Living Skills	Mechanics & Repairs	MR16. Uses plunger";;
"Independent Living Skills	Mechanics & Repairs	MR17. Stops running toilet by jiggling the handle";;
"Independent Living Skills	Mechanics & Repairs	MR18. Turns off water valves";;
"Independent Living Skills	Mechanics & Repairs	MR19. Identifies beeping smoke detectors for battery change";;
"Independent Living Skills	Mechanics & Repairs	MR20. Cleans up broken glass";;
"Independent Living Skills	Mechanics & Repairs	MR21. Resets a circuit breaker";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will open and unwrap a wide variety of packaging from purchased items.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will select the appropriate type and size of a screwdriver for a specific screw, and remove, insert, and tighten a screw.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will hammer a nail into wood and remove a nail from wood.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will grasp and squeeze objects with pliers.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will demonstrate the appropriate use of extension cords.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will secure items by tying a knot in string or rope, and untie knots.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will thread a needle and perform minor mending of clothing.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will select an appropriate nail or hanger and position it in a desired location to hang up a picture.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will connect a computer or other Wi-Fi enabled device to a Wi-Fi network.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will set and cancel residential alarm system.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will replace batteries in devices that require attending to the + and - ends of batteries.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will maintain a charged flashlight and locate and operate it when needed.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will safely replace light bulbs and florescent tubes.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will state the importance of not using higher wattage light bulbs than specified for a fixture so as to avoid electrical fires.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will refill soap dispensers from a larger container.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will use plunger to clear clogged toilet.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will jiggle a toilet handle to stop the water from running when needed.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will locate and turn off water valves to faucets and toilets.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will identify that a beeping smoke detector needs to have the battery changed and replaces the battery.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will safely clean up and dispose of broken glass.";;
"Independent Living Skills	Mechanics & Repairs Objectives	Learner will reset a circuit breaker and reset a GFIC button.";;
"Independent Living Skills	Community Travel	CT1. Knowledge of community services";;
"Independent Living Skills	Community Travel	CT2. Describes locations of key places in community";;
